rank,channel_id,channel_name,channel_url,subscribers,video_count,total_views,description,published_at,country,custom_url,default_language,thumbnail_url,topic_categories,privacy_status,is_linked,made_for_kids,channel_keywords,uploads_playlist_id,instagram_url,x_url,tiktok_url
1,UCP6aw2-Afafmm0cPZ7pmYyQ,のがちゃんねる/nogachannel,https://youtube.com/@@noga,1670000,656,441309437,8ヶ月で-10kg痩せたダイエット経験をもとに、短時間で効果が出るトレーニングやストレッチを紹介しています。効果がわかるから続く！全米ヨガアライアンスRYT200保持。,2018-12-31T05:50:14Z,JP,@noga,ja,https://yt3.ggpht.com/ytc/AIdro_ns1zJ9NJWbGt6lXk3HAGb-F469iE-TdRRHdBcohzcHsvs=s800-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Physical fitness",public,True,False,ダイエット 筋トレ ワークアウト 有酸素 全身筋トレ 腹筋 脂肪燃焼,UUP6aw2-Afafmm0cPZ7pmYyQ,,,
2,UCwdphP6bpyIkhajgwzVgbVA,HagaSeven.芳賀セブンの部屋,https://youtube.com/@@hagaseven,1420000,3122,1246225221,僕の存在はフィクションです,2017-11-26T04:13:27Z,JP,@hagaseven,,https://yt3.ggpht.com/ytc/AIdro_l87TldHqEISeehKihyEGV_QjVAijUru0qImgGliL8gOyw=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Lifestyle (sociology), Health",public,True,False,LGBT ボディビルダー 筋肉 筋トレ workout ボディビル パワーリフティング パワーリフター,UUwdphP6bpyIkhajgwzVgbVA,,,
3,UC7F_CLFtxDetmUnORgmwImg,VALX 山本義徳 筋トレ大学,https://youtube.com/@@yoshinori-yamamoto,778000,2084,318371691,"【毎週日曜日】投稿
ボディビルダーの世界大会で優勝した経験を持ち、
メジャーリーガーをはじめ、数多くの有名アスリートを指導した経験もある
筋肉博士こと山本義徳氏の公式YouTubeチャンネルです。

ダイエット・筋トレ・食事・栄養管理のカテゴリーにまつわるハウツーを
アスリート・トレーニー・ダイエッター・健康目的の方へ、発信していきます。

■山本義徳監修ブランド『VALX』公式サイト：https://valx.jp/l/ytb/valx

■コメント返信に関して
本チャンネルのコメント欄における、皆さまからのご意見・ご感想は、
筋トレ大学運用スタッフが確認し、 今後の動画内容の改善や企画の参考とさせていただきます。
山本先生ご本人へのご質問やメッセージは、動画内で取り上げられる場合を除き、
先生より個別に返信することはございませんのでご了承いただければと思います。

---------------------------------------------------------------------------------------------------------

■お仕事のお問い合わせやコラボ依頼等はこちら
　valx-sns@lev.co.jp

",2019-04-19T10:19:57Z,JP,@yoshinori-yamamoto,,https://yt3.ggpht.com/JBNDLAi9kLd_rWXSKx2yDTYnjPaB1ZaDRAl4cheBXp-gU4VjzCjFYIqbJ0pxP5tzuPtzmprwfg=s800-c-k-c0x00ffffff-no-rj,"Health, Lifestyle (sociology), Physical fitness",public,True,False,"山本義徳 トレーニング トレーナー ダイエット 筋トレ VALX EAA9 ""山本義徳 筋トレ大学"" パーソナルトレーナー 筋トレ大学 プロテイン 胸トレ 初心者 きんとれ おすすめ",UU7F_CLFtxDetmUnORgmwImg,,,
4,UCgjblCwQBAUc7F0YYhRCFVQ,【公式】しみけんチャンネル,https://youtube.com/@@avshimiken69,723000,444,153805409,"男優歴27年 AV男優しみけんのYouTubeチャンネルです。

他にも“性”に関する情報や、お悩み解決を各SNSで発信しています。
【Twitter】https://twitter.com/avshimiken​
【TikTok】https://www.tiktok.com/@avshimiken
【Instagram】https://instagram.com/shimiken0901
【note】https://note.com/avshimiken
【Blog】https://ameblo.jp/avshimiken/​
【しみけんTV】https://bit.ly/3uRFKDS （韓国向けYouTube）
【SEXテクニック講義】https://bit.ly/2YzxrhP

案件などお仕事のご依頼はこちらまで！
shiminayami@gmail.com

",2020-03-13T06:48:29.979235Z,JP,@avshimiken69,,https://yt3.ggpht.com/5KoJJoMtVwsr0-sfp9kpnfYpId-mwyBOzaB4piCiZ8e7HPS6pdLvP2zs-zdJ-30gZr0w-WFIJhM=s800-c-k-c0x00ffffff-no-rj,Lifestyle (sociology),public,True,False,,UUgjblCwQBAUc7F0YYhRCFVQ,https://instagram.com/shimiken0901,https://twitter.com/avshimiken,https://www.tiktok.com/@avshimiken
5,UCXVErXFv_fzdIMjFpkIXHtg,まめたまの筋トレ日記,https://youtube.com/@@mametama,683000,1043,215319663,"“昨日よりかっこいい自分へ！""をテーマに動画を発信してます！

今の自分がどうであれ、努力で人は変われる。
ガリガリで自分に自信がなかった僕らは筋トレを通して変われました。

変わりたいと思った時こそ人生のスタートだと思ってるので、
一緒に昨日よりかっこいい自分を目指していきましょう！！！

【2019年】
2019/09/05  初投稿
2019/12/13  登録者1,000人達成

【2020年】
2020/05/19  登録者10,000人達成
2020/09/19  登録者50,000人達成

【2021年】
2021/03/16  登録者70,000人達成
2021/03/31  社会人3年目。2人でそれぞれの会社を退職
2021/09/04  登録者100,000人達成（銀の盾を獲得）

【2022年】
2022/01/26 Uber eats『まめたまの頑張らないダイエット食堂』を出店
2022/04/04 登録者200,000人達成
2022/08/16 登録者300,000人達成（2022年度の目標達成）

【2023年】
2023/02/13 共同代表として会社設立
2023/04/24 登録者400,000人達成
2023/05/31 日本一の筋トレコンビYouTuber達成（2023年度の目標達成）
2023/06/21 累計再生数1億回突破
2023/07/02 宅トレ動画が1,000万再生を突破
2023/08/31 登録者500,000人達成
2023/11/29 初の書籍『おはよう、新しい朝、新しい僕、新しい筋肉。』発売

【2024年】
2024/06/23 食事指導講座「SIX-PACKプロジェクト」始動
2024/08/30 Uber eats『まめたまのアサイーボウル』を出店
2024/09/03 登録者600,000人達成
2024/11/29 SWEETSプロテイン販売（3日でAmazon完売）

【2025年】
2025/5/3 まめたまのアサイーボウル全国50店舗展開
2025/7/4 SWEETSプロテイン1万袋完売
2025/7/10 SIX-PACKプロジェクト200名突破
2025/8/24 『夏のまめたまダイエットフェス2025』100名開催

【20××年】
日本一の筋トレYouTuberになる
",2019-08-10T21:53:00Z,JP,@mametama,,https://yt3.ggpht.com/ytc/AIdro_mQP_ip4nErZg0_gM2QbHvmrBYoT4pc8RQJGzO36BZD2Q=s800-c-k-c0x00ffffff-no-rj,"Food, Health, Lifestyle (sociology), Physical fitness",public,True,False,筋トレ 腹筋 宅トレ 自重トレ 浮き輪肉 筋肉 ダイエット まめたま,UUXVErXFv_fzdIMjFpkIXHtg,,,
6,UCeCmAYh1ylwIsgGrmqaklzg,TBS CROSS DIG with Bloomberg,https://youtube.com/@@tbs_bloomberg,513000,939,61368754,"TBSとBloombergが作る新しい金融・経済のメディアです。
「ビジネスパーソンに役立つ情報」や「海外の経済ニュース」を分かりやすくお伝えします。
旬なキーパーソンのインタビューもお届けします。

※コメントポリシー※
当チャンネルは、ユーザーの皆様に安心して交流いただける健全なコミュニティを作ることを目指しています。公序良俗に反するものや、他人の権利を侵害するような投稿など、コメント欄における違反行為を見つけた場合はコメントの削除や、投稿を制限する場合があります。皆様のご協力をお願いします。
",2024-09-26T09:59:44.300924Z,JP,@tbs_bloomberg,,https://yt3.ggpht.com/_hSlcOOtoRYLGf4S_JKQDt5QGevxbQkIjBmYXHhzboGTkw_Sx6Z5l1V_IXk0V5TrunltAn47=s800-c-k-c0x00ffffff-no-rj,"Knowledge, Society, Politics",public,True,False,,UUeCmAYh1ylwIsgGrmqaklzg,,,
7,UC2b1bVPPJgpf4qb6Asij33A,sexyfitness　40-50代ボディをかっこよくする筋トレ法,https://youtube.com/@@sexyfitness,413000,2881,105638817,"大手スポーツクラブ で15年連続売上1位のパーソナルトレーナー「sexyfitnessユウジ」

月4回のライブ配信レッスンはこちらでやっています！
https://mosh.jp/sexyfitness/home
お申し込みは毎月末最後の3日間です。

私の著書
「50代から始める正しい筋トレ」  https://amzn.to/3laBCzg

「はじめての男の自宅筋トレ」    https://amzn.to/31dLURD


ジムでのパーソナルトレーニング
オンラインパーソナルトレーニングの問い合わせはこちら
http://www.sexyfitness.biz/

↑YouTubeコラボご希望の方もこちらからご連絡下さい。
　

Instagram
ID  sexyfitnessyuji

Twtter
@sexyfitnessyuji



",2007-04-04T15:40:43Z,JP,@sexyfitness,,https://yt3.ggpht.com/ynI__5ZlL4xXuwLR47sld2_yszgHcGZyGvD3mbEFAd20xUUseSvTGIOGOwdymgNqKSlIzjT3_Q=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Health, Lifestyle (sociology)",public,True,False,筋肉 トレーニング エクササイズ パーソナルトレーニング パーソナルトレーナー 筋トレ ダイエット 体脂肪 体脂肪燃焼 体脂肪を減らす 食事,UU2b1bVPPJgpf4qb6Asij33A,,,
8,UCdSPo9Iefw1REMBTPqm7DwQ,Hidetada Yamagishi - Big Hide Channel OFFICIAL,https://youtube.com/@@hideyamagishi,374000,1572,164132461,"BIG HIDE CHANNEL / Big Hide

With 11 Mr. Olympia appearances (2007 – 2020, Open & 212), a 2023 Masters Olympia 212 championship, and 2016 Arnold Classic 212 victory, IFBB Pro Hidetada Yamagishi—“Big Hide”—remains the only Japanese athlete ever to battle on bodybuilding’s Olympia stage. This is his official channel.

Broadcasting straight from his Las Vegas home gym:

・Real‑world cutting & bulking meals, supplement stacks, and daily routines
・Pro‑level chest, back, and leg training techniques—direct from an IFBB veteran
・Collaborations with Ms. Olympia Iris Kyle and other world‑class athletes
・A “train‑for‑life” philosophy tailored to masters lifters and anyone chasing longevity

We typically drop 2–3 new videos each week plus one weekly live stream (schedule subject to change).

From first‑time lifters to serious competitors, discover proven methods to steadily level‑up your physique.

👉 Hit Subscribe and ring the bell to keep growing alongside Big Hide!
",2010-04-20T00:11:48Z,US,@hideyamagishi,en,https://yt3.ggpht.com/9vnIqdRyhgFAH6SRq4jqItkZAsBUCPSwEHIC9DwiTIIfjZWu8nyoGqqxPh-j27Bx_7vpiAkqWA=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Lifestyle (sociology), Health",public,True,False,"ボディビル ダイエット サプリメント 山岸秀匡 ヒデタダヤマギシ ""Hidetada Yamagishi"" IFBBプロ ボディビルダー フィジーク 食事 筋肉 トレーニング アメリカ フィットネス 家トレ 自宅トレ バルクアップ",UUdSPo9Iefw1REMBTPqm7DwQ,,,
9,UCUz2jRRS1QTgrFAlYuKU5aQ,クライムライフ【Climb Life】,https://youtube.com/@@-climblife,318000,1041,247332136,"主に自重トレーニングをメインに動画を上げていきたいです‼️
また、このチャンネルを通して自分も成長していきたいと思っています！

当チャンネルは、Amazon.co.jpを宣伝しリンクすることによってサイトが紹介料を獲得できる手段を提供することを目的に設定されたアフィリエイトプログラムである、Amazonアソシエイト・プログラムの参加者です。




",2020-08-18T05:48:54.864125Z,JP,@-climblife,,https://yt3.ggpht.com/32mxoWkMZf141ADqBV-Mt8zN7RycQQ4JjtnWlqbkc_1FHZlDCmVS-2MvmTC6tIInE7h_hX2aYP0=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Lifestyle (sociology), Health",public,True,False,,UUUz2jRRS1QTgrFAlYuKU5aQ,,,
10,UCBuVoNdV2vO4Suws-I3aPHw,じゅりっこダンス部,https://youtube.com/@@jurico,276000,1323,162970031,"☆楽しく踊れるようになる動画☆

🌸さくらダンス合同会社🌸
　代表の市川珠里です。

5歳から今（29歳）までずっとダンスを続けてきました！
得意なのはJAZZ
バレエもHIPHOPもハウスもLOCKもパンキングも全部習いました！
ダンスが大好きです！
応援よろしくね(^^♪

■学校関係者・ダンス指導者へ
「授業目的」もしくは「ダンス練習」に限り、私の動画や振付を自由に使用していただいてかまいません。許可不要です。
※これは動画・振付の著作権を譲渡するものではありません。
※楽曲の著作権やその周辺権利等についての許可ではありません。楽曲使用については著作権者にお問い合わせください。
※YouTubeの利用規約、法令等を遵守してください。

■クリエイター様へ
ダンスの楽しさを一緒に広めてください✨
「○○分で覚えて踊ってみた」などダンス系の企画動画を作る際、私のレクチャー動画を是非ご活用ください！
画面に写してもOKです。（※著作権フリーではない）
条件は5つだけ！
　①画面のだいたい30％くらいまで表示可。
　②YouTubeの規約に違反しないこと。
　③人が踊ったりしゃべったりして動画に出演すること。
　（私の動画そのまま転載や、加工しただけで転載はNG）
　④タイトルか説明欄のどこかに「じゅりっこダンス部」の文字を入れること。
　⑤楽しい動画を作って視聴者をハッピーにすること。←重要

■お取引先の皆様へ
イベント出演、振付作成、レッスン、PR、コラボ動画など
お気軽にご相談ください。（御見積り無料）
お問い合わせは公式LINE、メールアドレス、もしくはホームページの「contact」よりお願いいたします。
",2012-05-14T07:26:28Z,JP,@jurico,,https://yt3.ggpht.com/YoEw2X8LMpnnpVg4pGOCeL4zPFX6K3Rur0Wr4sdaRS1dSDbzzTfiJmvJhPOvlFfZD_DZvxRjd2g=s800-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Entertainment, Performing arts, Music of Asia, Music, Pop music",public,True,False,ダンス 踊ってみた じゅりっこ 댄스 レッスン tutorial レクチャー 解説 KPOP zyurikko KPOPダンス 分析 基礎練習 じゅりっこダンス部 日本 jpop japan インストラクター,UUBuVoNdV2vO4Suws-I3aPHw,,,
